PERMNO,date,TICKER,PRC,VOL,CFACPR,OPENPRC
84398,2000-01-03,SPY,145.43750,8164299,1,148.25000
84398,2000-01-04,SPY,139.75000,8089799,1,143.53125
84398,2000-01-05,SPY,140.00000,12177899,1,139.93750
84398,2000-01-06,SPY,137.75000,6227199,1,139.62500
84398,2000-01-07,SPY,145.75000,8066599,1,140.31250
84398,2000-01-10,SPY,146.25000,5741599,1,146.25000
84398,2000-01-11,SPY,144.31250,7433699,1,145.81250
84398,2000-01-12,SPY,143.06250,6911699,1,144.59375
84398,2000-01-13,SPY,145.00000,5158299,1,144.46875
84398,2000-01-14,SPY,146.96875,7437299,1,146.53125
84398,2000-01-18,SPY,145.81250,6488500,1,145.34375
84398,2000-01-19,SPY,146.25000,6152899,1,145.31250
84398,2000-01-20,SPY,144.75000,5800099,1,146.96875
84398,2000-01-21,SPY,144.43750,6244799,1,145.50000
84398,2000-01-24,SPY,140.34375,7896899,1,145.65625
84398,2000-01-25,SPY,141.93750,9942500,1,140.51563
84398,2000-01-26,SPY,140.81250,5158099,1,141.00000
84398,2000-01-27,SPY,140.25000,10919899,1,141.84375
84398,2000-01-28,SPY,135.87500,11916199,1,139.43750
84398,2000-01-31,SPY,139.62500,10768601,1,135.81250
84398,2000-02-01,SPY,140.93750,8419799,1,139.75000
84398,2000-02-02,SPY,141.06250,6205899,1,141.28125
84398,2000-02-03,SPY,143.18750,7997500,1,140.87500
84398,2000-02-04,SPY,142.59375,4925399,1,143.18750
84398,2000-02-07,SPY,142.37500,5845799,1,142.56250
84398,2000-02-08,SPY,144.31250,4936500,1,143.96875
84398,2000-02-09,SPY,141.28125,8511500,1,144.46875
84398,2000-02-10,SPY,141.56250,6690599,1,141.62500
84398,2000-02-11,SPY,138.68750,9849199,1,141.84375
84398,2000-02-14,SPY,139.50000,8528799,1,139.78125
84398,2000-02-15,SPY,141.09375,11078299,1,139.25000
84398,2000-02-16,SPY,139.18750,8845399,1,140.37500
84398,2000-02-17,SPY,138.28125,7584199,1,140.43750
84398,2000-02-18,SPY,135.31250,9650899,1,138.87500
84398,2000-02-22,SPY,134.96875,16415399,1,135.18750
84398,2000-02-23,SPY,136.56250,12119000,1,135.62500
84398,2000-02-24,SPY,133.81250,17374992,1,136.68750
84398,2000-02-25,SPY,133.32813,10559899,1,135.18750
84398,2000-02-28,SPY,136.12500,13397799,1,133.37500
84398,2000-02-29,SPY,137.43750,8242500,1,136.06250
84398,2000-03-01,SPY,138.43750,6866000,1,137.62500
84398,2000-03-02,SPY,138.53125,7600199,1,138.68750
84398,2000-03-03,SPY,141.12500,12770299,1,140.43750
84398,2000-03-06,SPY,139.81250,11966899,1,140.81250
84398,2000-03-07,SPY,137.04688,20061792,1,140.00000
84398,2000-03-08,SPY,136.87500,11808399,1,136.46875
84398,2000-03-09,SPY,140.87500,5500899,1,137.25000
84398,2000-03-10,SPY,140.18750,7924500,1,140.18750
84398,2000-03-13,SPY,138.59375,10540399,1,136.68750
84398,2000-03-14,SPY,136.62500,8263699,1,139.28125
84398,2000-03-15,SPY,139.81250,10300799,1,136.87500
84398,2000-03-16,SPY,146.34375,25601392,1,141.62500
84398,2000-03-17,SPY,146.93750,10272899,1,145.81250
84398,2000-03-20,SPY,146.78125,12502099,1,146.87500
84398,2000-03-21,SPY,149.18750,13612799,1,145.53125
84398,2000-03-22,SPY,150.09375,8259799,1,149.56250
84398,2000-03-23,SPY,152.50000,11653899,1,149.15625
84398,2000-03-24,SPY,153.56250,11462899,1,152.87500
84398,2000-03-27,SPY,151.93750,8798599,1,153.37500
84398,2000-03-28,SPY,151.06250,6334299,1,151.25000
84398,2000-03-29,SPY,151.21875,6747500,1,151.56250
84398,2000-03-30,SPY,148.68750,9491899,1,150.15625
84398,2000-03-31,SPY,150.37500,9249101,1,149.62500
84398,2000-04-03,SPY,151.25000,8508199,1,150.12500
84398,2000-04-04,SPY,145.75000,21056384,1,151.75000
84398,2000-04-05,SPY,149.18750,8227899,1,147.87500
84398,2000-04-06,SPY,150.48438,6378500,1,150.25000
84398,2000-04-07,SPY,151.43750,6023599,1,151.56250
84398,2000-04-10,SPY,150.84375,9624199,1,151.75000
84398,2000-04-11,SPY,150.40625,9006399,1,150.00000
84398,2000-04-12,SPY,146.28125,10779699,1,150.37500
84398,2000-04-13,SPY,144.25000,12226799,1,147.46875
84398,2000-04-14,SPY,138.37500,29603792,1,142.62500
84398,2000-04-17,SPY,140.75000,23918192,1,135.18750
84398,2000-04-18,SPY,144.46875,10955699,1,140.56250
84398,2000-04-19,SPY,143.12500,6553699,1,144.50000
84398,2000-04-20,SPY,143.81250,8537599,1,143.56250
84398,2000-04-24,SPY,142.25000,12893099,1,141.50000
84398,2000-04-25,SPY,148.15625,14102000,1,144.62500
84398,2000-04-26,SPY,146.48438,7711099,1,147.96875
84398,2000-04-27,SPY,146.00000,15595299,1,143.00000
84398,2000-04-28,SPY,145.09375,8743398,1,147.00000
84398,2000-05-01,SPY,147.06250,7328299,1,146.56250
84398,2000-05-02,SPY,144.12500,9411899,1,145.50000
84398,2000-05-03,SPY,141.62500,12180699,1,144.00000
84398,2000-05-04,SPY,141.81250,5963599,1,142.00000
84398,2000-05-05,SPY,143.53125,7862399,1,141.06250
84398,2000-05-08,SPY,142.45313,5064099,1,142.75000
84398,2000-05-09,SPY,141.31250,5619799,1,143.06250
84398,2000-05-10,SPY,138.12500,10293899,1,140.50000
84398,2000-05-11,SPY,141.28125,7091099,1,140.12500
84398,2000-05-12,SPY,142.81250,5960799,1,141.81250
84398,2000-05-15,SPY,145.28125,4441299,1,142.75000
84398,2000-05-16,SPY,146.56250,8192000,1,146.56250
84398,2000-05-17,SPY,145.15625,5906899,1,145.68750
84398,2000-05-18,SPY,143.81250,4325299,1,145.62500
84398,2000-05-19,SPY,141.12500,6518399,1,142.56250
84398,2000-05-22,SPY,140.06250,10839399,1,141.25000
84398,2000-05-23,SPY,138.00000,7979199,1,140.43750
84398,2000-05-24,SPY,140.25000,11084500,1,138.00000
84398,2000-05-25,SPY,137.84375,8278899,1,140.68750
84398,2000-05-26,SPY,138.00000,4814000,1,138.81250
84398,2000-05-30,SPY,142.71875,5362599,1,140.00000
84398,2000-05-31,SPY,142.81250,6056500,1,142.56250
84398,2000-06-01,SPY,145.31250,8961599,1,143.68750
84398,2000-06-02,SPY,147.84375,8962199,1,148.93750
84398,2000-06-05,SPY,147.12500,6998099,1,147.46875
84398,2000-06-06,SPY,146.46875,4858899,1,146.62500
84398,2000-06-07,SPY,147.48438,4919500,1,146.62500
84398,2000-06-08,SPY,146.90625,5723099,1,147.50000
84398,2000-06-09,SPY,146.59375,3085299,1,147.50000
84398,2000-06-12,SPY,144.87500,3436799,1,146.96875
84398,2000-06-13,SPY,147.59375,6551500,1,144.81250
84398,2000-06-14,SPY,147.84375,6407099,1,148.25000
84398,2000-06-15,SPY,148.15625,5776199,1,148.12500
84398,2000-06-16,SPY,146.59375,5526199,1,148.31250
84398,2000-06-19,SPY,148.46875,5090500,1,146.46875
84398,2000-06-20,SPY,147.93750,5662299,1,148.18750
84398,2000-06-21,SPY,147.84375,3112699,1,146.93750
84398,2000-06-22,SPY,145.62500,7486500,1,147.56250
84398,2000-06-23,SPY,144.37500,4469899,1,145.81250
84398,2000-06-26,SPY,146.23438,5194799,1,145.37500
84398,2000-06-27,SPY,145.15625,4076599,1,145.98438
84398,2000-06-28,SPY,145.56250,5320099,1,145.62500
84398,2000-06-29,SPY,144.18750,6339199,1,144.75000
84398,2000-06-30,SPY,145.28125,7396601,1,143.93750
84398,2000-07-03,SPY,147.28125,1431899,1,145.43750
84398,2000-07-05,SPY,144.62500,2714799,1,146.37500
84398,2000-07-06,SPY,145.75000,5382899,1,144.93750
84398,2000-07-07,SPY,148.09375,3021299,1,146.68750
84398,2000-07-10,SPY,147.84375,2814500,1,147.87500
84398,2000-07-11,SPY,148.15625,5420699,1,147.46875
84398,2000-07-12,SPY,149.12500,5800699,1,149.28125
84398,2000-07-13,SPY,149.78125,5354099,1,149.98438
84398,2000-07-14,SPY,151.25000,5335199,1,150.43750
84398,2000-07-17,SPY,151.00000,3933000,1,150.98438
84398,2000-07-18,SPY,149.76563,4245599,1,150.62500
84398,2000-07-19,SPY,148.68750,8294199,1,149.46875
84398,2000-07-20,SPY,150.62500,4283000,1,149.00000
84398,2000-07-21,SPY,147.68750,5370399,1,149.75000
84398,2000-07-24,SPY,146.84375,5625299,1,148.12500
84398,2000-07-25,SPY,147.31250,4488799,1,147.75000
84398,2000-07-26,SPY,145.87500,11773299,1,146.96875
84398,2000-07-27,SPY,145.37500,7640000,1,145.93750
84398,2000-07-28,SPY,142.09375,6217099,1,145.71875
84398,2000-07-31,SPY,142.90625,5235000,1,142.93750
84398,2000-08-01,SPY,143.87500,3939599,1,143.62500
84398,2000-08-02,SPY,144.59375,7432899,1,143.87500
84398,2000-08-03,SPY,145.59375,4544799,1,142.87500
84398,2000-08-04,SPY,146.37500,3679599,1,146.31250
84398,2000-08-07,SPY,148.12500,4134500,1,146.71875
84398,2000-08-08,SPY,148.68750,3591699,1,147.50000
84398,2000-08-09,SPY,147.43750,5350899,1,149.14063
84398,2000-08-10,SPY,146.71875,4188399,1,147.53125
84398,2000-08-11,SPY,147.32813,5080899,1,146.62500
84398,2000-08-14,SPY,149.28125,2917199,1,147.78125
84398,2000-08-15,SPY,149.15625,5547599,1,149.34375
84398,2000-08-16,SPY,148.62500,5136899,1,149.31250
84398,2000-08-17,SPY,150.18750,5612799,1,148.68750
84398,2000-08-18,SPY,149.68750,4620799,1,150.37500
84398,2000-08-21,SPY,150.56250,2359899,1,150.03125
84398,2000-08-22,SPY,150.31250,3017899,1,150.56250
84398,2000-08-23,SPY,150.84375,5477500,1,149.81250
84398,2000-08-24,SPY,151.31250,4522399,1,151.15625
84398,2000-08-25,SPY,151.25000,2820399,1,151.15625
84398,2000-08-28,SPY,151.76563,5497399,1,151.25000
84398,2000-08-29,SPY,151.79688,3528199,1,151.43750
84398,2000-08-30,SPY,150.34375,3948599,1,151.31250
84398,2000-08-31,SPY,152.34375,4820800,1,151.06250
84398,2000-09-01,SPY,152.37500,3152899,1,153.25000
84398,2000-09-05,SPY,151.28125,3450399,1,151.87500
84398,2000-09-06,SPY,149.78125,4164099,1,151.18750
84398,2000-09-07,SPY,150.84375,4078799,1,150.25000
84398,2000-09-08,SPY,149.81250,3476099,1,150.28125
84398,2000-09-11,SPY,149.59375,3933799,1,149.75000
84398,2000-09-12,SPY,148.46875,4742500,1,149.75000
84398,2000-09-13,SPY,148.89063,4555099,1,148.00000
84398,2000-09-14,SPY,148.46875,3391399,1,149.87500
